trips,date
387,2014-08-02
365,2014-08-03
1169,2014-08-04
1313,2014-08-05
1254,2014-08-06
1256,2014-08-07
1170,2014-08-08
376,2014-08-09
436,2014-08-10
1234,2014-08-11
1380,2014-08-12
1247,2014-08-13
1251,2014-08-14
1179,2014-08-15
425,2014-08-16
402,2014-08-17
1277,2014-08-18
1279,2014-08-19
1327,2014-08-20
1352,2014-08-21
1235,2014-08-22
485,2014-08-23
345,2014-08-24
1371,2014-08-25
1513,2014-08-26
1479,2014-08-27
1340,2014-08-28
1252,2014-08-29
481,2014-08-30
473,2014-08-31
368,2014-09-01
1319,2014-09-02
1404,2014-09-03
1389,2014-09-04
1265,2014-09-05
435,2014-09-06
336,2014-09-07
1305,2014-09-08
1362,2014-09-09
1351,2014-09-10
1381,2014-09-11
1308,2014-09-12
556,2014-09-13
435,2014-09-14
1516,2014-09-15
1438,2014-09-16
1429,2014-09-17
1186,2014-09-18
1245,2014-09-19
427,2014-09-20
313,2014-09-21
1353,2014-09-22
1362,2014-09-23
1301,2014-09-24
1177,2014-09-25
1242,2014-09-26
464,2014-09-27
376,2014-09-28
1335,2014-09-29
1304,2014-09-30
1393,2014-10-01
1452,2014-10-02
1194,2014-10-03
418,2014-10-04
324,2014-10-05
1169,2014-10-06
1293,2014-10-07
1367,2014-10-08
1306,2014-10-09
1299,2014-10-10
552,2014-10-11
447,2014-10-12
1261,2014-10-13
1496,2014-10-14
1384,2014-10-15
1462,2014-10-16
1257,2014-10-17
474,2014-10-18
418,2014-10-19
1266,2014-10-20
1410,2014-10-21
1319,2014-10-22
1389,2014-10-23
1427,2014-10-24
406,2014-10-25
470,2014-10-26
1393,2014-10-27
1419,2014-10-28
1496,2014-10-29
1411,2014-10-30
848,2014-10-31
395,2014-11-01
372,2014-11-02
1347,2014-11-03
1302,2014-11-04
1382,2014-11-05
1410,2014-11-06
1301,2014-11-07
512,2014-11-08
377,2014-11-09
1304,2014-11-10
1213,2014-11-11
1363,2014-11-12
1133,2014-11-13
1210,2014-11-14
384,2014-11-15
267,2014-11-16
1304,2014-11-17
1322,2014-11-18
906,2014-11-19
886,2014-11-20
1210,2014-11-21
343,2014-11-22
235,2014-11-23
1285,2014-11-24
1183,2014-11-25
758,2014-11-26
133,2014-11-27
277,2014-11-28
281,2014-11-29
121,2014-11-30
1181,2014-12-01
491,2014-12-02
804,2014-12-03
1125,2014-12-04
980,2014-12-05
419,2014-12-06
296,2014-12-07
1363,2014-12-08
1305,2014-12-09
1279,2014-12-10
107,2014-12-11
622,2014-12-12
368,2014-12-13
264,2014-12-14
644,2014-12-15
770,2014-12-16
809,2014-12-17
1126,2014-12-18
532,2014-12-19
305,2014-12-20
246,2014-12-21
1021,2014-12-22
806,2014-12-23
308,2014-12-24
150,2014-12-25
329,2014-12-26
231,2014-12-27
297,2014-12-28
627,2014-12-29
486,2014-12-30
386,2014-12-31
181,2015-01-01
428,2015-01-02
283,2015-01-03
206,2015-01-04
1186,2015-01-05
1255,2015-01-06
1301,2015-01-07
1295,2015-01-08
1173,2015-01-09
362,2015-01-10
327,2015-01-11
1344,2015-01-12
1368,2015-01-13
1296,2015-01-14
1229,2015-01-15
1082,2015-01-16
319,2015-01-17
275,2015-01-18
619,2015-01-19
1213,2015-01-20
1314,2015-01-21
1224,2015-01-22
1164,2015-01-23
420,2015-01-24
259,2015-01-25
1249,2015-01-26
1260,2015-01-27
1345,2015-01-28
1295,2015-01-29
1193,2015-01-30
375,2015-01-31
251,2015-02-01
1312,2015-02-02
1363,2015-02-03
1364,2015-02-04
1272,2015-02-05
608,2015-02-06
318,2015-02-07
141,2015-02-08
1246,2015-02-09
1368,2015-02-10
1343,2015-02-11
1305,2015-02-12
1295,2015-02-13
563,2015-02-14
375,2015-02-15
543,2015-02-16
1279,2015-02-17
1238,2015-02-18
1172,2015-02-19
1101,2015-02-20
333,2015-02-21
289,2015-02-22
1280,2015-02-23
1169,2015-02-24
1209,2015-02-25
1242,2015-02-26
1092,2015-02-27
330,2015-02-28
338,2015-03-01
1209,2015-03-02
1299,2015-03-03
1243,2015-03-04
1225,2015-03-05
1245,2015-03-06
396,2015-03-07
394,2015-03-08
1045,2015-03-09
1184,2015-03-10
1214,2015-03-11
1328,2015-03-12
1208,2015-03-13
479,2015-03-14
377,2015-03-15
1295,2015-03-16
1365,2015-03-17
1319,2015-03-18
1363,2015-03-19
1206,2015-03-20
375,2015-03-21
280,2015-03-22
1247,2015-03-23
1340,2015-03-24
1409,2015-03-25
1348,2015-03-26
1264,2015-03-27
512,2015-03-28
362,2015-03-29
1403,2015-03-30
1354,2015-03-31
1379,2015-04-01
1395,2015-04-02
1155,2015-04-03
342,2015-04-04
216,2015-04-05
1281,2015-04-06
1097,2015-04-07
1344,2015-04-08
1321,2015-04-09
1246,2015-04-10
407,2015-04-11
303,2015-04-12
1337,2015-04-13
1331,2015-04-14
1359,2015-04-15
1359,2015-04-16
1255,2015-04-17
413,2015-04-18
325,2015-04-19
